日本語,英語,備考
作成,create,
削除,delete,
更新,update,
検索,search,
取得,get,
設定,set,
保存,save,
読み込み,load,
計算,calculate,
表示,display,
送信,send,
受信,receive,
開始,start,
終了,end,
選択,select,
空チェック,isEmpty,コレクションや文字列が空かどうか確認

フラグ,isEnabled,機能が有効かどうか
フラグ,isActive,状態がアクティブかどうか
フラグ,isVisible,表示可能かどうか
フラグ,isAvailable,利用可能かどうか
フラグ,isLoggedIn,ログインしているかどうか
フラグ,isAuthorized,認可されているかどうか
フラグ,isConnected,接続されているかどうか
フラグ,isLoaded,読み込まれているかどうか
フラグ,isCompleted,完了しているかどうか
フラグ,isRunning,実行中かどうか
カウンタ,currentCount,現在のカウント値
カウンタ,totalCount,総カウント値
カウンタ,errorCount,エラーのカウント数
カウンタ,pageCount,ページ数
カウンタ,itemCount,アイテム数
データ取得,getData,データ取得
データ取得,getUser,ユーザー情報取得
データ取得,getConfig,設定値取得
データ取得,getDetails,詳細情報取得
データ取得,getStatus,状態取得
データ更新,setData,データ更新
データ更新,setUser,ユーザー情報更新
データ更新,setConfig,設定値更新
データ更新,setDetails,詳細情報更新
データ更新,setStatus,状態更新
リスト操作,addItem,リストにアイテム追加
リスト操作,removeItem,リストからアイテム削除
リスト操作,clearList,リストをクリア
リスト操作,sortList,リストをソート
リスト操作,findItem,リスト内のアイテム検索
ファイル操作,readFile,ファイル読み込み
ファイル操作,writeFile,ファイル書き込み
ファイル操作,deleteFile,ファイル削除
ファイル操作,copyFile,ファイルコピー
ファイル操作,moveFile,ファイル移動
接続処理,openConnection,接続を開く
接続処理,closeConnection,接続を閉じる
接続処理,reconnect,再接続
接続処理,disconnect,接続を切る
接続処理,isConnectionActive,接続が有効か確認
計算処理,calculateTotal,合計を計算
計算処理,calculateAverage,平均値を計算
計算処理,calculateSum,総和を計算
計算処理,calculateDifference,差を計算
計算処理,calculatePercentage,割合を計算
状態管理,setActive,アクティブ状態に設定
状態管理,setInactive,非アクティブ状態に設定
状態管理,resetState,状態をリセット
状態管理,getCurrentState,現在の状態を取得
状態管理,isStateValid,状態が有効か確認
設定,loadConfig,設定値を読み込む
設定,saveConfig,設定値を保存
設定,resetConfig,設定値をリセット
設定,updateConfig,設定値を更新
設定,deleteConfig,設定値を削除
イベント処理,onClick,クリック時のイベント
イベント処理,onChange,変更時のイベント
イベント処理,onSubmit,送信時のイベント
イベント処理,onError,エラー時のイベント
イベント処理,onSuccess,成功時のイベント
ロギング,logInfo,情報をログ出力
ロギング,logWarning,警告をログ出力
ロギング,logError,エラーをログ出力
ロギング,logDebug,デバッグ情報をログ出力
ロギング,logEvent,イベントをログ出力
変換処理,convertToString,文字列に変換
変換処理,convertToInt,整数に変換
変換処理,convertToDouble,小数に変換
変換処理,convertToDate,日付に変換
変換処理,convertToJson,JSON形式に変換
文字列操作,trimString,文字列をトリム
文字列操作,splitString,文字列を分割
文字列操作,concatStrings,文字列を連結
文字列操作,replaceString,文字列を置換
文字列操作,toUpperCase,大文字に変換
検証処理,validateInput,入力値を検証
検証処理,validateForm,フォームを検証
検証処理,validateData,データを検証
検証処理,isInputValid,入力値が有効か確認
検証処理,isDataComplete,データが完全か確認
通知処理,sendNotification,通知を送信
通知処理,sendEmail,メールを送信
通知処理,showAlert,アラートを表示
通知処理,showMessage,メッセージを表示
通知処理,logNotification,通知をログ出力